"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"70","Robby Anderson","NYJ","wr","4","16","184.5","9","0","0","0","0","0","0","0","0","0","99.253","59.3666","892.2553","6.0021","0.5717","0.2859","0.0908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Marvin Jones Jr.","DET","wr","5","16","183","9","0","0","0","0","0","0","0","0","0","93.3188","56.4174","870.9486","6.5439","0.1672","0.0836","0.1381","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Lamar Jackson","BLT","qb","8","16","320.2","8","314.213","495.1484","3346.766","16.1448","11.9356","40.9888","183.3872","897.1595","8.1627","0","0","0","0","12.6487","6.3243","0.6748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Jameis Winston","TB","qb","7","16","319.7","8","354.2836","566.3231","4611.888","27.0142","17.1959","41.8959","91.2582","307.7494","2.8639","0","0","0","0","10.9275","5.4638","0.9504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Miles Sanders","PHI","rb","10","16","150.2","7","0","0","0","0","0","0","149.2233","635.3822","5.0032","37.2645","29.8355","208.1722","1.0226","0.6677","0.3338","0.0802","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Dion Lewis","TEN","rb","11","16","149.8","7","0","0","0","0","0","0","102.4725","417.2874","3.2","58.5627","49.1807","305.8374","1.5587","0.6278","0.3139","0.0552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Tevin Coleman","SF","rb","4","16","146.8","7","0","0","0","0","0","0","130.7196","595.5968","3.9372","40.0559","29.7789","238.2228","1.7254","0.9168","0.4584","0.0374","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Will Fuller V","HST","wr","10","16","174.9","6","0","0","0","0","0","0","0","0","0","84.6916","55.1187","817.7243","6.3134","0.1938","0.0969","0.1085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Dede Westbrook","JAX","wr","10","16","174.8","6","0","0","0","0","0","0","3.7694","27.1605","0.1194","103.0693","70.9031","733.4697","4.6032","1.4343","0.7171","0.1218","537.0174","0.4029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Larry Fitzgerald","ARZ","wr","12","16","172.3","6","0","0","0","0","0","0","0","0","0","102.5293","69.5469","769.5793","4.2437","0.3694","0.1847","0.2454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","David Montgomery","CHI","rb","6","16","143.6","6","0","0","0","0","0","0","169.4116","694.9614","5.084","30.0236","23.288","166.7271","0.6403","0.7119","0.3559","0.0774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Jared Cook","NO","te","9","16","156.6","6","0","0","0","0","0","0","0","0","0","82.9564","57.7823","754.4421","3.8957","0.312","0.156","0.074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Delanie Walker","TEN","te","11","16","154.5","5","0","0","0","0","0","0","0","0","0","85.5917","58.3929","686.4247","4.5594","0.4984","0.2492","0.1736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","LeSean McCoy","BUF","rb","6","16","140.8","5","0","0","0","0","0","0","160.3324","660.2926","2.6468","40.1226","32.0903","237.1722","0.6042","1.0941","0.547","0.0198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Eric Ebron","IND","te","6","16","154.2","5","0","0","0","0","0","0","0","0","0","80.356","55.1424","662.6742","5.4656","0.3001","0.15","0.0713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Kyle Rudolph","MIN","te","12","16","153.8","5","0","0","0","0","0","0","0","0","0","75.2072","56.6097","575.5878","6.5792","0.1358","0.0679","0.0894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Matt Ryan","ATL","qb","9","16","307.8","5","403.16","588.6208","4642.5987","28.0025","11.206","34.5116","52.2339","124.2657","1.6772","0","0","0","0","6.3916","3.1958","0.9973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Corey Davis","TEN","wr","11","16","167.6","5","0","0","0","0","0","0","4.0989","27.1129","0.1343","99.1062","62.2704","755.0269","4.389","0.6478","0.3239","0.1585","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Austin Hooper","ATL","te","9","16","152.1","4","0","0","0","0","0","0","0","0","0","78.7524","61.1572","645.8054","4.321","0.1545","0.0772","0.2557","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Drew Brees","NO","qb","9","16","306.4","4","413.1852","574.4178","4659.791","29.7907","11.3046","21.5356","26.7987","17.1354","1.9537","0","0","0","0","4.7543","2.3772","0.5378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Courtland Sutton","DEN","wr","10","16","163.1","3","0","0","0","0","0","0","0","0","0","93.1953","51.3879","830.7352","4.7528","0.1878","0.0939","0.1209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Russell Wilson","SEA","qb","11","16","301","3","280.6378","451.7068","3366.9334","25.457","9.1015","42.7764","106.6861","547.1452","3.8085","0","0","0","0","10.6655","5.3328","0.6965","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Latavius Murray","NO","rb","9","16","132.5","3","0","0","0","0","0","0","149.9303","586.0677","4.8873","27.6521","24.0117","162.8292","0.7215","0.5092","0.2546","0.0867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Tyrell Williams","OAK","wr","6","16","159.4","2","0","0","0","0","0","0","0","0","0","85.5127","56.2037","785.4924","4.1334","0.7272","0.3636","0.102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Derrius Guice","WAS","rb","10","16","130.7","2","0","0","0","0","0","0","176.3306","712.8356","4.0199","24.455","18.8824","134.1443","0.5164","0.7176","0.3588","0.1113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Andrew Luck","IND","qb","6","16","298.4","2","390.7549","593.4115","4313.5055","29.2982","14.71","25.1965","72.04","185.2849","1.2143","0","0","0","0","7.3975","3.6988","0.6108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Golden Tate","NYG","wr","11","16","158.4","2","0","0","0","0","0","0","3.7602","21.6347","0.1154","89.6848","65.7215","653.6946","4.0861","0.7214","0.3607","0.1306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","DeSean Jackson","PHI","wr","10","16","154.4","1","0","0","0","0","0","0","3.8262","23.4311","0.1166","74.529","48.9819","760.6814","4.3737","0.1699","0.085","0.0681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Kirk Cousins","MIN","qb","12","16","293.6","1","385.8635","573.4092","4053.3964","27.9477","14.0929","40.5648","60.9807","200.9979","2.7585","0","0","0","0","9.2957","4.6479","0.8802","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Ben Roethlisberger","PIT","qb","7","16","293.4","1","404.6255","617.2923","4346.7023","28.6342","13.1391","36.8123","33.385","81.0381","1.822","0","0","0","0","5.5486","2.7743","0.9178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Curtis Samuel","CAR","wr","7","16","153.4","1","0","0","0","0","0","0","7.3422","56.3725","0.2339","82.127","52.4872","657.8272","4.7009","0.6235","0.3118","0.1153","546.1522","0.1757","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","Mohamed Sanu","ATL","wr","9","16","152.6","1","0","0","0","0","0","0","3.5796","21.8641","0.1063","78.7524","57.8753","679.6255","3.9317","0.3438","0.1719","0.2478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Carson Wentz","PHI","qb","10","16","291.6","1","355.1959","542.1405","4113.3466","27.0922","12.7131","36.6766","78.4195","281.2328","1.2215","0","0","0","0","11.2369","5.6185","0.7981","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Vance McDonald","PIT","te","7","16","137.1","1","0","0","0","0","0","0","0","0","0","77.9035","54.0624","596.4626","3.9116","0.4546","0.2273","0.0729","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","David Njoku","CLV","te","7","16","136.8","0","0","0","0","0","0","0","0","0","0","74.8769","52.4249","620.9206","3.6855","0.1364","0.0682","0.1062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Trey Burton","CHI","te","6","16","135.6","0","0","0","0","0","0","0","0","0","0","75.0589","52.0662","578.723","4.2266","0.281","0.1405","0.218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Jaire Alexander","GB","cb","11","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0921","0.046","0","59.5166","0.0604","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Darius Phillips","CIN","cb","9","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0913","0.0457","0","101.5331","0.0519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Brendan Langley","DEN","cb","10","16","-0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2617","0.1308","0","297.3519","0.1395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Adoree' Jackson","TEN","cb","11","16","-0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3267","0.1633","0","173.0018","0.1974","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Jourdan Lewis","DAL","cb","8","16","-0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.443","0.2215","0","698.2345","0.207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Tremon Smith","KC","cb","12","16","-0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6762","0.3381","0","955.2133","0.3035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Dak Prescott","DAL","qb","8","16","289.5","0","340.9747","520.0602","3724.788","20.3324","10.604","43.315","88.4135","391.5416","5.5213","0","0","0","0","8.4469","4.2235","0.8777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Marqise Lee","JAX","wr","10","16","150.1","0","0","0","0","0","0","0","0","0","0","86.7952","57.867","690.6508","3.8169","0.3904","0.1952","0.2483","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Greg Olsen","CAR","te","7","16","135","0","0","0","0","0","0","0","0","0","0","71.8611","47.6289","614.2008","4.2953","0.1389","0.0695","0.1036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Nyheim Hines","IND","rb","6","16","121.5","0","0","0","0","0","0","0","58.7071","228.0503","2.2107","57.3971","44.537","308.1031","1.7013","0.4292","0.2146","0.042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Tramon Williams","GB","s","11","16","-0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2785","0.1392","0","169.2165","0.1905","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","Cyrus Jones","BLT","s","8","16","-0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.291","0.1455","0","236.9046","0.2548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Desmond King II","LAC","cb","12","16","-0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8098","0.4049","0","1074.4915","0.5716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Jamal Agnew","DET","cb","5","16","-0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8674","0.4337","0","1147.7509","0.6601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","Greg Stroman","WAS","cb","10","16","-0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8736","0.4368","0","920.6384","0.5124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Jerick McKinnon","SF","rb","4","16","120.7","0","0","0","0","0","0","0","115.3408","449.5827","2.3981","40.0559","33.2021","214.5913","1.1109","0.8338","0.4169","0.2174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Rashaad Penny","SEA","rb","11","16","120.5","0","0","0","0","0","0","0","125.4174","546.1793","3.4149","29.2464","22.8456","168.5985","0.9737","0.6063","0.3031","0.0701","214.4049","0.0808","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Dante Pettis","SF","wr","4","16","148.9","0","0","0","0","0","0","0","0","0","0","80.1118","51.1697","678.7332","4.9479","0.2047","0.1024","0.1162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","Chris Thompson","WAS","rb","10","16","120.2","0","0","0","0","0","0","0","39.1846","194.4405","0.921","58.692","46.7024","379.5464","1.7846","0.3975","0.1987","0.0416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Devin Funchess","IND","wr","6","16","148.4","0","0","0","0","0","0","0","0","0","0","80.356","49.9978","663.3431","5.3352","0.1309","0.0655","0.0633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Peyton Barber","TB","rb","7","16","119.7","0","0","0","0","0","0","0","160.3216","587.5225","3.0921","32.4059","24.9783","132.7999","0.7858","1.2583","0.6291","0.0426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Mitchell Trubisky","CHI","qb","6","16","287.6","0","332.3938","518.1642","3570.9014","22.2479","13.6014","40.2222","102.5805","449.5966","4.5128","0","0","0","0","8.326","4.163","0.7352","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","Marquise Brown","BLT","wr","8","16","147.3","0","0","0","0","0","0","0","8.9004","57.8476","0.2681","91.5153","55.8973","634.7401","3.4012","0.2955","0.1477","0.1212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Kenny Stills","MIA","wr","5","16","146.8","0","0","0","0","0","0","0","0","0","0","80.1593","46.3608","700.3809","5.0882","0.8097","0.4049","0.1476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Philip Rivers","LAC","qb","12","16","286","0","372.6378","555.2298","4484.7637","28.5851","11.4164","31.8439","16.0064","17.4884","0.3607","0","0","0","0","3.8591","1.9296","0.8297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","Jack Doyle","IND","te","6","16","129.8","0","0","0","0","0","0","0","0","0","0","68.8766","54.2238","509.6888","4.1281","0.5576","0.2788","0.0833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Jamison Crowder","NYJ","wr","4","16","144.8","0","0","0","0","0","0","0","3.8949","23.3029","0.1197","79.4024","58.0426","631.6493","3.4253","0.3737","0.1868","0.1089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","N'Keal Harry","NE","wr","10","16","144.7","0","0","0","0","0","0","0","0","0","0","83.2683","55.3106","641.0628","4.1769","0.239","0.1195","0.1935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Mark Andrews","BLT","te","8","16","129.5","0","0","0","0","0","0","0","0","0","0","67.4323","45.4958","645.4414","3.2276","0.1423","0.0711","0.0871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","Jared Goff","LA","qb","9","16","282.6","0","374.7608","572.6917","4501.7716","24.7651","11.995","40.1269","43.1773","89.1734","1.5189","0","0","0","0","9.3281","4.6641","1.0254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","Aaron Rodgers","GB","qb","11","16","281.8","0","348.0743","554.2888","3747.0062","24.2511","5.6787","52.6094","80.6522","275.5842","2.1969","0","0","0","0","4.4765","2.2382","1.0229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","Royce Freeman","DEN","rb","10","16","113","0","0","0","0","0","0","0","146.7865","574.2651","4.6183","20.7101","15.6622","97.0488","0.453","0.7498","0.3749","0.0756","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","Mecole Hardman","KC","wr","12","16","141.4","0","0","0","0","0","0","0","7.3418","47.7229","0.2559","76.431","50.8084","574.0095","4.4891","0.6402","0.3201","0.1512","242.9202","0.3162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","Giovani Bernard","CIN","rb","9","16","112.6","0","0","0","0","0","0","0","71.7539","286.6262","1.0496","51.1937","40.9934","291.4379","1.251","0.2977","0.1489","0.0651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","Keke Coutee","HST","wr","10","16","140.5","0","0","0","0","0","0","0","3.7515","23.8431","0.1141","79.7098","56.4017","593.6654","3.6077","0.5211","0.2605","0.1241","330.6339","0.1656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","Kyler Murray","ARZ","qb","12","16","279.7","0","314.0724","516.575","3429.2812","15.1696","15.0509","51.4634","104.7154","525.6159","7.6178","0","0","0","0","5.1681","2.584","0.6121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","Theo Riddick","DET","rb","5","16","111.4","0","0","0","0","0","0","0","35.9037","132.9961","0.6246","62.2125","49.6537","346.5088","1.6879","0.2801","0.1401","0.0492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","Jamaal Williams","GB","rb","11","16","111","0","0","0","0","0","0","0","103.704","385.2909","3.6562","31.1785","25.3413","197.1755","0.9535","0.6497","0.3248","0.0402","610.0268","0.1692","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Ito Smith","ATL","rb","9","16","110.9","0","0","0","0","0","0","0","107.3884","383.3224","3.5465","33.751","27.924","182.9212","0.8773","0.647","0.3235","0.0782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","Christian Kirk","ARZ","wr","12","16","139.4","0","0","0","0","0","0","0","3.5906","24.0501","0.0859","82.9999","53.9879","646.1838","2.9987","0.5198","0.2599","0.0735","215.1239","0.1699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","Baker Mayfield","CLV","qb","7","16","278.2","0","373.0996","558.8104","4109.5153","24.8315","16.0184","26.8405","62.1442","217.7589","1.8673","0","0","0","0","7.5196","3.7598","0.669","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","Jimmy Graham","GB","te","11","16","123.2","0","0","0","0","0","0","0","0","0","0","67.5534","47.5032","510.6799","4.0518","0.109","0.0545","0.1796","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","Tom Brady","NE","qb","10","16","277.5","0","399.8876","584.8701","4180.8233","27.4259","8.2193","25.4876","29.942","26.3125","1.1781","0","0","0","0","5.3934","2.6967","0.8687","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","Ted Ginn Jr.","NO","wr","9","16","137.6","0","0","0","0","0","0","0","8.3295","59.1214","0.255","66.3651","45.8161","598.5974","4.0655","0.4593","0.2296","0.1429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","Darrell Henderson","LA","rb","9","16","108.9","0","0","0","0","0","0","0","106.8588","477.1518","4.5519","21.4141","17.2243","123.9812","0.7145","0.4601","0.23","0.1012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","Jordan Reed","WAS","te","10","16","121.7","0","0","0","0","0","0","0","0","0","0","73.3649","54.0189","522.9252","2.5734","0.4453","0.2227","0.1101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
