"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"17","Davante Adams","GB","wr","11","16","276.9","33","0","0","0","0","0","0","0","0","0","145.4997","99.2646","1190.471","9.6815","0.2007","0.1004","0.321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","David Johnson","ARZ","rb","12","16","242.5","32","0","0","0","0","0","0","208.257","771.0731","5.7771","82.9999","62.1891","575.943","1.9527","2.5508","1.2754","0.2418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Mike Evans","TB","wr","7","16","269.6","31","0","0","0","0","0","0","0","0","0","140.4255","85.728","1369.8983","7.755","0.4748","0.2374","0.2893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Joe Mixon","CIN","rb","9","16","237.6","30","0","0","0","0","0","0","256.8033","1083.2171","5.6662","61.4324","51.8514","353.9978","1.4354","1.3887","0.6944","0.0802","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Odell Beckham Jr.","CLV","wr","7","16","262","29","0","0","0","0","0","0","3.927","23.7971","0.1005","133.7087","89.3314","1223.3858","7.8682","0.2771","0.1386","0.1624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Stefon Diggs","MIN","wr","12","16","257.8","28","0","0","0","0","0","0","7.3735","44.0108","0.242","128.9266","93.7894","1072.3125","8.4186","0.2353","0.1177","0.2864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Zach Ertz","PHI","te","10","16","239.8","27","0","0","0","0","0","0","0","0","0","127.764","93.2161","1040.3704","7.1431","0.9008","0.4504","0.0755","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","A.J. Green","CIN","wr","9","16","248.5","26","0","0","0","0","0","0","0","0","0","127.9843","79.9561","1174.4003","8.5468","1.0614","0.5307","0.1591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","T.Y. Hilton","IND","wr","6","16","248","26","0","0","0","0","0","0","0","0","0","126.2737","83.4816","1241.1035","6.7647","0.7473","0.3737","0.0942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Leonard Fournette","JAX","rb","10","16","216.6","25","0","0","0","0","0","0","214.8541","803.3639","6.9722","59.6717","49.7246","353.9743","1.6331","1.035","0.5175","0.031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
